date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff,score_model,score_model_detail,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope
2026-06-14 23:00:00,Group E,26,Ivory Coast,Ecuador,1.0,0.0,1,1,draw,home_win,False,False,1.0,1.369,1.381,-2.65,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,1.0,1.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=2)",2026-06-14,2026-06-13,before_match_date
2026-06-15 02:00:00,Group F,32,Sweden,Tunisia,5.0,1.0,1,1,draw,home_win,False,False,1.0,1.367,1.383,-3.8,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,4.0,0.0,4.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=2)",2026-06-14,2026-06-13,before_match_date
2026-06-15 16:00:00,Group H,43,Spain,Cape Verde,0.0,0.0,2,0,home_win,draw,False,False,1.0,2.283,0.828,329.58,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-15,2026-06-14,before_match_date
2026-06-15 19:00:00,Group G,37,Belgium,Egypt,1.0,1.0,1,1,draw,draw,True,True,1.0,1.541,1.227,74.14,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,0.0,0.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-15,2026-06-14,before_match_date
2026-06-15 22:00:00,Group H,44,Saudi Arabia,Uruguay,1.0,1.0,0,1,away_win,draw,False,False,0.7,1.131,1.671,-126.83,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-15,2026-06-14,before_match_date
2026-06-16 01:00:00,Group G,38,Iran,New Zealand,2.0,2.0,0,1,away_win,draw,False,False,0.7,1.783,1.061,168.74,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,1.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-15,2026-06-14,before_match_date
2026-06-16 19:00:00,Group I,49,France,Senegal,3.0,1.0,1,1,draw,home_win,False,False,1.0,1.642,1.151,115.51,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-16,2026-06-15,before_match_date
2026-06-16 22:00:00,Group I,50,Iraq,Norway,1.0,4.0,0,1,away_win,away_win,True,False,0.7272727272727272,1.347,1.404,-13.34,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,1.0,3.0,4.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-16,2026-06-15,before_match_date
2026-06-17 01:00:00,Group J,55,Argentina,Algeria,3.0,0.0,1,0,home_win,home_win,True,False,0.7741935483870968,1.725,1.096,147.52,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-16,2026-06-15,before_match_date
2026-06-17 04:00:00,Group J,56,Austria,Jordan,3.0,1.0,0,1,away_win,home_win,False,False,0.7272727272727272,1.465,1.29,41.37,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,3.0,0.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-16,2026-06-15,before_match_date
