match_key,tournament,competition,year,round,stage_type,date,team,player,player_url,goal_text
FIFA World Cup 2010-group_A-1,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-11,South Africa,Siphiwe Tshabalala,https://en.wikipedia.org/wiki/Siphiwe_Tshabalala,Tshabalala 55'
FIFA World Cup 2010-group_A-1,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-11,Mexico,Rafael Márquez,https://en.wikipedia.org/wiki/Rafael_M%C3%A1rquez,Márquez 79'
FIFA World Cup 2010-group_A-3,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-16,Uruguay,Diego Forlán,https://en.wikipedia.org/wiki/Diego_Forl%C3%A1n,"Forlán 24' , 80' ( pen. )"
FIFA World Cup 2010-group_A-3,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-16,Uruguay,Álvaro Pereira,https://en.wikipedia.org/wiki/%C3%81lvaro_Pereira,Á. Pereira 90+5'
FIFA World Cup 2010-group_A-4,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-17,Mexico,Javier Hernández,https://en.wikipedia.org/wiki/Javier_Hern%C3%A1ndez,Hernández 64'
FIFA World Cup 2010-group_A-4,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-17,Mexico,Cuauhtémoc Blanco,https://en.wikipedia.org/wiki/Cuauht%C3%A9moc_Blanco,Blanco 79' ( pen. )
FIFA World Cup 2010-group_A-5,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-22,Uruguay,Luis Suárez,https://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,Suárez 43'
FIFA World Cup 2010-group_A-6,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-22,France,Florent Malouda,https://en.wikipedia.org/wiki/Florent_Malouda,Malouda 70'
FIFA World Cup 2010-group_A-6,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-22,South Africa,Bongani Khumalo,https://en.wikipedia.org/wiki/Bongani_Khumalo,Khumalo 20'
FIFA World Cup 2010-group_A-6,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-22,South Africa,Katlego Mphela,https://en.wikipedia.org/wiki/Katlego_Mphela,Mphela 37'
FIFA World Cup 2010-group_B-1,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-12,South Korea,Lee Jung-soo,https://en.wikipedia.org/wiki/Lee_Jung-soo,Lee Jung-soo 7'
FIFA World Cup 2010-group_B-1,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-12,South Korea,Park Ji-sung,https://en.wikipedia.org/wiki/Park_Ji-sung,Park Ji-sung 52'
FIFA World Cup 2010-group_B-2,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-12,Argentina,Gabriel Heinze,https://en.wikipedia.org/wiki/Gabriel_Heinze,Heinze 6'
FIFA World Cup 2010-group_B-3,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-17,Argentina,Gonzalo Higuaín,https://en.wikipedia.org/wiki/Gonzalo_Higua%C3%ADn,"Higuaín 33' , 76' , 80'"
FIFA World Cup 2010-group_B-3,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-17,South Korea,Lee Chung-yong,https://en.wikipedia.org/wiki/Lee_Chung-yong,Lee Chung-yong 45+1'
FIFA World Cup 2010-group_B-4,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-17,Greece,Dimitris Salpingidis,https://en.wikipedia.org/wiki/Dimitris_Salpingidis,Salpingidis 44'
FIFA World Cup 2010-group_B-4,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-17,Greece,Vasilis Torosidis,https://en.wikipedia.org/wiki/Vasilis_Torosidis,Torosidis 71'
FIFA World Cup 2010-group_B-4,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-17,Nigeria,Kalu Uche,https://en.wikipedia.org/wiki/Kalu_Uche,Uche 16'
FIFA World Cup 2010-group_B-5,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-22,Nigeria,Kalu Uche,https://en.wikipedia.org/wiki/Kalu_Uche,Uche 12'
FIFA World Cup 2010-group_B-5,FIFA World Cup 2010,FIFA World Cup,2010,Group B,group,2010-06-22,Nigeria,Yakubu,https://en.wikipedia.org/wiki/Yakubu_(footballer),Yakubu 69' ( pen. )
