match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
UEFA Euro 2020-main-49,UEFA Euro 2020,UEFA Euro,2020,Semi-finals,knockout,2021-07-06,Italy,Spain,1.0,1.0
UEFA Euro 2020-main-50,UEFA Euro 2020,UEFA Euro,2020,Semi-finals,knockout,2021-07-07,England,Denmark,2.0,1.0
UEFA Euro 2020-main-51,UEFA Euro 2020,UEFA Euro,2020,Final,knockout,2021-07-11,Italy,England,1.0,1.0
UEFA Euro 2024-main-1,UEFA Euro 2024,UEFA Euro,2024,Group A,group,2024-06-14,Germany,Scotland,5.0,1.0
UEFA Euro 2024-main-2,UEFA Euro 2024,UEFA Euro,2024,Group A,group,2024-06-15,Hungary,Switzerland,1.0,3.0
UEFA Euro 2024-main-3,UEFA Euro 2024,UEFA Euro,2024,Group A,group,2024-06-19,Germany,Hungary,2.0,0.0
UEFA Euro 2024-main-4,UEFA Euro 2024,UEFA Euro,2024,Group A,group,2024-06-19,Scotland,Switzerland,1.0,1.0
UEFA Euro 2024-main-5,UEFA Euro 2024,UEFA Euro,2024,Group A,group,2024-06-23,Switzerland,Germany,1.0,1.0
UEFA Euro 2024-main-6,UEFA Euro 2024,UEFA Euro,2024,Group A,group,2024-06-23,Scotland,Hungary,0.0,1.0
UEFA Euro 2024-main-7,UEFA Euro 2024,UEFA Euro,2024,Group B,group,2024-06-15,Spain,Croatia,3.0,0.0
UEFA Euro 2024-main-8,UEFA Euro 2024,UEFA Euro,2024,Group B,group,2024-06-15,Italy,Albania,2.0,1.0
UEFA Euro 2024-main-9,UEFA Euro 2024,UEFA Euro,2024,Group B,group,2024-06-19,Croatia,Albania,2.0,2.0
UEFA Euro 2024-main-10,UEFA Euro 2024,UEFA Euro,2024,Group B,group,2024-06-20,Spain,Italy,1.0,0.0
UEFA Euro 2024-main-11,UEFA Euro 2024,UEFA Euro,2024,Group B,group,2024-06-24,Albania,Spain,0.0,1.0
UEFA Euro 2024-main-12,UEFA Euro 2024,UEFA Euro,2024,Group B,group,2024-06-24,Croatia,Italy,1.0,1.0
UEFA Euro 2024-main-13,UEFA Euro 2024,UEFA Euro,2024,Group C,group,2024-06-16,Slovenia,Denmark,1.0,1.0
UEFA Euro 2024-main-14,UEFA Euro 2024,UEFA Euro,2024,Group C,group,2024-06-16,Serbia,England,0.0,1.0
UEFA Euro 2024-main-15,UEFA Euro 2024,UEFA Euro,2024,Group C,group,2024-06-20,Slovenia,Serbia,1.0,1.0
UEFA Euro 2024-main-16,UEFA Euro 2024,UEFA Euro,2024,Group C,group,2024-06-20,Denmark,England,1.0,1.0
UEFA Euro 2024-main-17,UEFA Euro 2024,UEFA Euro,2024,Group C,group,2024-06-25,England,Slovenia,0.0,0.0
UEFA Euro 2024-main-18,UEFA Euro 2024,UEFA Euro,2024,Group C,group,2024-06-25,Denmark,Serbia,0.0,0.0
UEFA Euro 2024-main-19,UEFA Euro 2024,UEFA Euro,2024,Group D,group,2024-06-16,Poland,Netherlands,1.0,2.0
UEFA Euro 2024-main-20,UEFA Euro 2024,UEFA Euro,2024,Group D,group,2024-06-17,Austria,France,0.0,1.0
UEFA Euro 2024-main-21,UEFA Euro 2024,UEFA Euro,2024,Group D,group,2024-06-21,Poland,Austria,1.0,3.0
UEFA Euro 2024-main-22,UEFA Euro 2024,UEFA Euro,2024,Group D,group,2024-06-21,Netherlands,France,0.0,0.0
UEFA Euro 2024-main-23,UEFA Euro 2024,UEFA Euro,2024,Group D,group,2024-06-25,Netherlands,Austria,2.0,3.0
UEFA Euro 2024-main-24,UEFA Euro 2024,UEFA Euro,2024,Group D,group,2024-06-25,France,Poland,1.0,1.0
UEFA Euro 2024-main-25,UEFA Euro 2024,UEFA Euro,2024,Group E,group,2024-06-17,Romania,Ukraine,3.0,0.0
UEFA Euro 2024-main-26,UEFA Euro 2024,UEFA Euro,2024,Group E,group,2024-06-17,Belgium,Slovakia,0.0,1.0
UEFA Euro 2024-main-27,UEFA Euro 2024,UEFA Euro,2024,Group E,group,2024-06-21,Slovakia,Ukraine,1.0,2.0
UEFA Euro 2024-main-28,UEFA Euro 2024,UEFA Euro,2024,Group E,group,2024-06-22,Belgium,Romania,2.0,0.0
UEFA Euro 2024-main-29,UEFA Euro 2024,UEFA Euro,2024,Group E,group,2024-06-26,Slovakia,Romania,1.0,1.0
UEFA Euro 2024-main-30,UEFA Euro 2024,UEFA Euro,2024,Group E,group,2024-06-26,Ukraine,Belgium,0.0,0.0
UEFA Euro 2024-main-31,UEFA Euro 2024,UEFA Euro,2024,Group F,group,2024-06-18,Turkey,Georgia,3.0,1.0
UEFA Euro 2024-main-32,UEFA Euro 2024,UEFA Euro,2024,Group F,group,2024-06-18,Portugal,Czech Republic,2.0,1.0
UEFA Euro 2024-main-33,UEFA Euro 2024,UEFA Euro,2024,Group F,group,2024-06-22,Georgia,Czech Republic,1.0,1.0
UEFA Euro 2024-main-34,UEFA Euro 2024,UEFA Euro,2024,Group F,group,2024-06-22,Turkey,Portugal,0.0,3.0
UEFA Euro 2024-main-35,UEFA Euro 2024,UEFA Euro,2024,Group F,group,2024-06-26,Georgia,Portugal,2.0,0.0
UEFA Euro 2024-main-36,UEFA Euro 2024,UEFA Euro,2024,Group F,group,2024-06-26,Czech Republic,Turkey,1.0,2.0
UEFA Euro 2024-main-37,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-06-29,Switzerland,Italy,2.0,0.0
UEFA Euro 2024-main-38,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-06-29,Germany,Denmark,2.0,0.0
UEFA Euro 2024-main-39,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-06-30,England,Slovakia,2.0,1.0
UEFA Euro 2024-main-40,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-06-30,Spain,Georgia,4.0,1.0
UEFA Euro 2024-main-41,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-07-01,France,Belgium,1.0,0.0
UEFA Euro 2024-main-42,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-07-01,Portugal,Slovenia,0.0,0.0
UEFA Euro 2024-main-43,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-07-02,Romania,Netherlands,0.0,3.0
UEFA Euro 2024-main-44,UEFA Euro 2024,UEFA Euro,2024,Round of 16,knockout,2024-07-02,Austria,Turkey,1.0,2.0
UEFA Euro 2024-main-45,UEFA Euro 2024,UEFA Euro,2024,Quarter-finals,knockout,2024-07-05,Spain,Germany,2.0,1.0
UEFA Euro 2024-main-46,UEFA Euro 2024,UEFA Euro,2024,Quarter-finals,knockout,2024-07-05,Portugal,France,0.0,0.0
UEFA Euro 2024-main-47,UEFA Euro 2024,UEFA Euro,2024,Quarter-finals,knockout,2024-07-06,England,Switzerland,1.0,1.0
UEFA Euro 2024-main-48,UEFA Euro 2024,UEFA Euro,2024,Quarter-finals,knockout,2024-07-06,Netherlands,Turkey,2.0,1.0
UEFA Euro 2024-main-49,UEFA Euro 2024,UEFA Euro,2024,Semi-finals,knockout,2024-07-09,Spain,France,2.0,1.0
UEFA Euro 2024-main-50,UEFA Euro 2024,UEFA Euro,2024,Semi-finals,knockout,2024-07-10,Netherlands,England,1.0,2.0
UEFA Euro 2024-main-51,UEFA Euro 2024,UEFA Euro,2024,Final,knockout,2024-07-14,Spain,England,2.0,1.0
