match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
FIFA World Cup 2014-main-13,FIFA World Cup 2014,FIFA World Cup,2014,Semi-finals,knockout,2014-07-08,Brazil,Germany,1.0,7.0
FIFA World Cup 2014-main-14,FIFA World Cup 2014,FIFA World Cup,2014,Semi-finals,knockout,2014-07-09,Netherlands,Argentina,0.0,0.0
FIFA World Cup 2014-main-15,FIFA World Cup 2014,FIFA World Cup,2014,Match for third place,knockout,2014-07-12,Brazil,Netherlands,0.0,3.0
FIFA World Cup 2014-main-16,FIFA World Cup 2014,FIFA World Cup,2014,Final,knockout,2014-07-13,Germany,Argentina,1.0,0.0
FIFA World Cup 2014-group_A-1,FIFA World Cup 2014,FIFA World Cup,2014,Group A,group,2014-06-12,Brazil,Croatia,3.0,1.0
FIFA World Cup 2014-group_A-2,FIFA World Cup 2014,FIFA World Cup,2014,Group A,group,2014-06-13,Mexico,Cameroon,1.0,0.0
FIFA World Cup 2014-group_A-3,FIFA World Cup 2014,FIFA World Cup,2014,Group A,group,2014-06-17,Brazil,Mexico,0.0,0.0
FIFA World Cup 2014-group_A-4,FIFA World Cup 2014,FIFA World Cup,2014,Group A,group,2014-06-18,Cameroon,Croatia,0.0,4.0
FIFA World Cup 2014-group_A-5,FIFA World Cup 2014,FIFA World Cup,2014,Group A,group,2014-06-23,Cameroon,Brazil,1.0,4.0
FIFA World Cup 2014-group_A-6,FIFA World Cup 2014,FIFA World Cup,2014,Group A,group,2014-06-23,Croatia,Mexico,1.0,3.0
FIFA World Cup 2014-group_B-1,FIFA World Cup 2014,FIFA World Cup,2014,Group B,group,2014-06-13,Spain,Netherlands,1.0,5.0
FIFA World Cup 2014-group_B-2,FIFA World Cup 2014,FIFA World Cup,2014,Group B,group,2014-06-13,Chile,Australia,3.0,1.0
FIFA World Cup 2014-group_B-3,FIFA World Cup 2014,FIFA World Cup,2014,Group B,group,2014-06-18,Australia,Netherlands,2.0,3.0
FIFA World Cup 2014-group_B-4,FIFA World Cup 2014,FIFA World Cup,2014,Group B,group,2014-06-18,Spain,Chile,0.0,2.0
FIFA World Cup 2014-group_B-5,FIFA World Cup 2014,FIFA World Cup,2014,Group B,group,2014-06-23,Australia,Spain,0.0,3.0
FIFA World Cup 2014-group_B-6,FIFA World Cup 2014,FIFA World Cup,2014,Group B,group,2014-06-23,Netherlands,Chile,2.0,0.0
FIFA World Cup 2014-group_C-1,FIFA World Cup 2014,FIFA World Cup,2014,Group C,group,2014-06-14,Colombia,Greece,3.0,0.0
FIFA World Cup 2014-group_C-2,FIFA World Cup 2014,FIFA World Cup,2014,Group C,group,2014-06-14,Ivory Coast,Japan,2.0,1.0
FIFA World Cup 2014-group_C-3,FIFA World Cup 2014,FIFA World Cup,2014,Group C,group,2014-06-19,Colombia,Ivory Coast,2.0,1.0
FIFA World Cup 2014-group_C-4,FIFA World Cup 2014,FIFA World Cup,2014,Group C,group,2014-06-19,Japan,Greece,0.0,0.0
FIFA World Cup 2014-group_C-5,FIFA World Cup 2014,FIFA World Cup,2014,Group C,group,2014-06-24,Japan,Colombia,1.0,4.0
