trial,matches_evaluated,exact_accuracy,toto_accuracy,scorito_points,points_per_match
507,115,0.09565217391304348,0.4434782608695652,6570,57.130434782608695
508,115,0.05217391304347826,0.391304347826087,5475,47.608695652173914
509,115,0.11304347826086956,0.4,5640,49.04347826086956
510,115,0.06086956521739131,0.3391304347826087,4755,41.34782608695652
511,115,0.06086956521739131,0.3652173913043478,5130,44.608695652173914
512,115,0.06956521739130435,0.3217391304347826,4515,39.26086956521739
513,115,0.11304347826086956,0.3739130434782609,5490,47.73913043478261
514,115,0.10434782608695652,0.34782608695652173,5340,46.43478260869565
515,115,0.017391304347826087,0.2608695652173913,3600,31.304347826086957
516,115,0.06086956521739131,0.3217391304347826,4860,42.26086956521739
517,115,0.08695652173913043,0.34782608695652173,5055,43.95652173913044
518,115,0.0782608695652174,0.3739130434782609,5385,46.82608695652174
519,115,0.06956521739130435,0.391304347826087,5430,47.21739130434783
520,115,0.06956521739130435,0.28695652173913044,4560,39.65217391304348
521,115,0.0782608695652174,0.3652173913043478,5235,45.52173913043478
522,115,0.0782608695652174,0.41739130434782606,5910,51.391304347826086
523,115,0.06956521739130435,0.3217391304347826,4965,43.17391304347826
524,115,0.06086956521739131,0.3652173913043478,5415,47.08695652173913
525,115,0.06956521739130435,0.30434782608695654,4425,38.47826086956522
526,115,0.0782608695652174,0.4260869565217391,6240,54.26086956521739
527,115,0.10434782608695652,0.4434782608695652,6795,59.08695652173913
528,115,0.12173913043478261,0.3826086956521739,5610,48.78260869565217
529,115,0.11304347826086956,0.391304347826087,6120,53.21739130434783
530,115,0.08695652173913043,0.3652173913043478,5400,46.95652173913044
531,115,0.08695652173913043,0.33043478260869563,4740,41.21739130434783
532,115,0.0782608695652174,0.391304347826087,5985,52.04347826086956
533,115,0.06956521739130435,0.3739130434782609,5505,47.869565217391305
534,115,0.06086956521739131,0.3565217391304348,5160,44.869565217391305
535,115,0.05217391304347826,0.3739130434782609,5295,46.04347826086956
536,115,0.11304347826086956,0.3652173913043478,5355,46.56521739130435
537,115,0.06086956521739131,0.3739130434782609,5160,44.869565217391305
538,115,0.0782608695652174,0.3652173913043478,5325,46.30434782608695
539,115,0.08695652173913043,0.3565217391304348,5430,47.21739130434783
540,115,0.09565217391304348,0.3391304347826087,5310,46.17391304347826
541,115,0.08695652173913043,0.3130434782608696,4860,42.26086956521739
542,115,0.11304347826086956,0.48695652173913045,7320,63.65217391304348
543,115,0.12173913043478261,0.4,6360,55.30434782608695
