tournament,round,date,home_team,away_team,predicted_score,actual_score,predicted_outcome,actual_outcome,exact_correct,toto_correct,scorito_match_points,max_exact_points,home_xg,away_xg,model_home_score,model_away_score,actual_home_score,actual_away_score,model_predicted_score,model_predicted_outcome,model_exact_correct,model_toto_correct,model_scorito_points,odds_source,odds_event_id,odds_date,odds_home_team,odds_away_team,odds_swapped,home_odds,draw_odds,away_odds,bookmakers_count,odds_date_diff_days,has_market_odds,market_home_implied,market_draw_implied,market_away_implied,market_overround,market_home_score,market_away_score,market_favorite_outcome,market_predicted_score,market_predicted_outcome,market_exact_correct,market_toto_correct,market_scorito_points,common_home_score,common_away_score,common_predicted_score,common_predicted_outcome,common_exact_correct,common_toto_correct,common_scorito_points
FIFA World Cup 2014,Round of 16,2014-07-01,Belgium,United States,1-0,2-1,home_win,home_win,False,True,90,135,1.454,0.954,1,0,2,1,1-0,home_win,False,True,90,oddsportal,2001839.0,2014-07-01,Belgium,United States,False,1.98,3.38,4.23,,0.0,True,0.48688243226676475,0.28521515262964325,0.227902415103592,1.0373151126015283,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2014,Quarter-finals,2014-07-04,France,Germany,1-1,0-1,draw,away_win,False,False,0,180,1.787,1.57,1,1,0,1,1-1,draw,False,False,0,oddsportal,2006184.0,2014-07-04,France,Germany,False,2.78,3.13,2.8,,0.0,True,0.34709735676887377,0.30828455329631593,0.34461808993481036,1.0363439052500583,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Quarter-finals,2014-07-04,Brazil,Colombia,1-1,2-1,draw,home_win,False,False,0,180,1.537,1.97,1,1,2,1,1-1,draw,False,False,0,oddsportal,2004049.0,2014-07-04,Brazil,Colombia,False,1.76,3.85,4.85,,0.0,True,0.5494416572260884,0.2511733290176404,0.19938501375627127,1.0341076449323872,1,0,home_win,1-0,home_win,False,True,120,1,0,1-0,home_win,False,True,120
FIFA World Cup 2014,Quarter-finals,2014-07-05,Argentina,Belgium,1-1,1-0,draw,home_win,False,False,0,180,1.354,1.254,1,1,1,0,1-1,draw,False,False,0,oddsportal,2009914.0,2014-07-05,Argentina,Belgium,False,1.97,3.38,4.31,,0.0,True,0.4902160708817482,0.28571765078019057,0.22406627833806128,1.0354907628485688,1,0,home_win,1-0,home_win,True,True,180,1,0,1-0,home_win,True,True,180
FIFA World Cup 2014,Quarter-finals,2014-07-05,Netherlands,Costa Rica,2-1,0-0,home_win,draw,False,False,0,180,2.087,1.12,2,1,0,0,2-1,home_win,False,False,0,oddsportal,2004192.0,2014-07-05,Netherlands,Costa Rica,False,1.52,4.13,7.32,,0.0,True,0.6346429980938626,0.23357320995222058,0.1317837919539168,1.0366375093053557,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Semi-finals,2014-07-08,Brazil,Germany,1-1,1-7,draw,away_win,False,False,0,225,1.604,1.604,1,1,1,7,1-1,draw,False,False,0,oddsportal,2015899.0,2014-07-08,Brazil,Germany,False,2.59,3.2,2.98,,0.0,True,0.3733429383530001,0.3021744407294595,0.3244826209175404,1.034170855899044,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Semi-finals,2014-07-09,Netherlands,Argentina,2-1,0-0,home_win,draw,False,False,0,225,2.287,1.42,2,1,0,0,2-1,home_win,False,False,0,oddsportal,2016147.0,2014-07-09,Netherlands,Argentina,False,3.05,3.23,2.52,,0.0,True,0.31699841493003494,0.29933286858718466,0.38366871648278034,1.0342917725042275,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Match for third place,2014-07-12,Brazil,Netherlands,1-2,0-3,away_win,away_win,False,True,180,270,1.637,2.12,1,2,0,3,1-2,away_win,False,True,180,oddsportal,2021887.0,2014-07-12,Brazil,Netherlands,False,2.14,3.72,3.45,,0.0,True,0.4554649404850627,0.2620147775908694,0.2825202819240679,1.0259619963910116,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Final,2014-07-13,Germany,Argentina,1-1,1-0,draw,home_win,False,False,0,270,1.77,1.387,1,1,1,0,1-1,draw,False,False,0,oddsportal,2021886.0,2014-07-13,Germany,Argentina,False,2.42,3.25,3.28,,0.0,True,0.4028326770612109,0.2999554087655786,0.29721191417321047,1.0257934969686633,1,0,home_win,1-0,home_win,True,True,270,1,0,1-0,home_win,True,True,270
FIFA World Cup 2018,Round of 16,2018-06-30,France,Argentina,1-0,4-3,home_win,home_win,False,True,90,135,1.421,0.754,1,0,4,3,1-0,home_win,False,True,90,oddsportal,3285271.0,2018-06-30,France,Argentina,False,2.4,3.06,3.36,,0.0,True,0.40022421524663676,0.3139013452914798,0.2858744394618834,1.0410830999066294,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2018,Round of 16,2018-06-30,Uruguay,Portugal,1-0,2-1,home_win,home_win,False,True,90,135,1.621,0.954,1,0,2,1,1-0,home_win,False,True,90,oddsportal,3283094.0,2018-06-30,Uruguay,Portugal,False,3.07,2.93,2.67,,0.0,True,0.3127351079947712,0.32767808243820734,0.35958680956702155,1.0415616625564388,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,True,90
FIFA World Cup 2018,Round of 16,2018-07-01,Spain,Russia,1-2,1-1,away_win,draw,False,False,0,135,1.538,2.138,1,2,1,1,1-2,away_win,False,False,0,oddsportal,3283095.0,2018-07-01,Spain,Russia,False,1.54,4.15,6.65,,0.0,True,0.6239613832396929,0.23154229643111493,0.14449632032919205,1.0406904446219603,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2018,Round of 16,2018-07-01,Croatia,Denmark,1-0,1-1,home_win,draw,False,False,0,135,1.654,0.571,1,0,1,1,1-0,home_win,False,False,0,oddsportal,3285272.0,2018-07-01,Croatia,Denmark,False,1.92,3.2,4.8,,0.0,True,0.5,0.3,0.19999999999999998,1.0416666666666667,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2018,Round of 16,2018-07-02,Brazil,Mexico,1-0,2-0,home_win,home_win,False,True,90,135,1.654,0.721,1,0,2,0,1-0,home_win,False,True,90,oddsportal,3286459.0,2018-07-02,Brazil,Mexico,False,1.47,4.36,7.62,,0.0,True,0.653565147598645,0.22035338691972664,0.12608146548162838,1.0408635028092,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2018,Round of 16,2018-07-02,Belgium,Japan,2-0,3-2,home_win,home_win,False,True,90,135,2.321,0.904,2,0,3,2,2-0,home_win,False,True,90,oddsportal,3289197.0,2018-07-02,Belgium,Japan,False,1.39,4.7,9.2,,0.0,True,0.6911654225475936,0.20440849730662872,0.10442608014577773,1.0408860700523763,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2018,Round of 16,2018-07-03,Sweden,Switzerland,1-1,1-0,draw,home_win,False,False,0,135,1.554,1.221,1,1,1,0,1-1,draw,False,False,0,oddsportal,3286460.0,2018-07-03,Sweden,Switzerland,False,3.32,2.92,2.5,,0.0,True,0.2886014295654374,0.32813587197166166,0.38326269846290084,1.043670572701766,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,True,True,135
FIFA World Cup 2018,Round of 16,2018-07-03,Colombia,England,1-1,1-1,draw,draw,True,True,135,135,1.321,1.804,1,1,1,1,1-1,draw,True,True,135,oddsportal,3289198.0,2018-07-03,Colombia,England,False,4.13,3.05,2.12,,0.0,True,0.2324385921396501,0.3147447165694279,0.4528166912909221,1.0416977162718903,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2018,Quarter-finals,2018-07-06,Uruguay,France,1-0,0-2,home_win,away_win,False,False,0,180,1.288,0.688,1,0,0,2,1-0,home_win,False,False,0,oddsportal,3292305.0,2018-07-06,Uruguay,France,False,4.93,3.07,1.95,,0.0,True,0.19477730672748747,0.31278570754609547,0.49243698572641703,1.0413931684356064,0,1,away_win,0-1,away_win,False,True,120,1,0,1-0,home_win,False,False,0
