source,event_id,tournament,date,home_team,away_team,home_odds,draw_odds,away_odds,bookmakers_count,source_tournament
oddsportal,3118381,FIFA World Cup 2018,2018-06-26,Iceland,Croatia,4.52,3.92,1.8,,FIFA World Cup 2018
oddsportal,3118375,FIFA World Cup 2018,2018-06-26,Australia,Peru,2.96,3.52,2.42,,FIFA World Cup 2018
oddsportal,3118374,FIFA World Cup 2018,2018-06-26,Denmark,France,5.68,2.76,2.03,,FIFA World Cup 2018
oddsportal,3118368,FIFA World Cup 2018,2018-06-25,Iran,Portugal,6.38,4.06,1.59,,FIFA World Cup 2018
oddsportal,3118369,FIFA World Cup 2018,2018-06-25,Spain,Morocco,1.36,4.98,10.38,,FIFA World Cup 2018
oddsportal,3118363,FIFA World Cup 2018,2018-06-25,Saudi Arabia,Egypt,5.29,3.6,1.77,,FIFA World Cup 2018
oddsportal,3118362,FIFA World Cup 2018,2018-06-25,Uruguay,Russia,2.81,3.07,2.85,,FIFA World Cup 2018
oddsportal,3118403,FIFA World Cup 2018,2018-06-24,Poland,Colombia,3.5,3.44,2.17,,FIFA World Cup 2018
oddsportal,3118402,FIFA World Cup 2018,2018-06-24,Japan,Senegal,3.26,2.91,2.61,,FIFA World Cup 2018
oddsportal,3118397,FIFA World Cup 2018,2018-06-24,England,Panama,1.22,6.39,17.75,,FIFA World Cup 2018
oddsportal,3118390,FIFA World Cup 2018,2018-06-23,Germany,Sweden,1.44,4.64,7.84,,FIFA World Cup 2018
oddsportal,3118391,FIFA World Cup 2018,2018-06-23,South Korea,Mexico,5.61,3.82,1.68,,FIFA World Cup 2018
oddsportal,3118396,FIFA World Cup 2018,2018-06-23,Belgium,Tunisia,1.34,5.06,11.5,,FIFA World Cup 2018
oddsportal,3118385,FIFA World Cup 2018,2018-06-22,Serbia,Switzerland,2.79,2.99,2.93,,FIFA World Cup 2018
oddsportal,3118379,FIFA World Cup 2018,2018-06-22,Nigeria,Iceland,3.02,3.07,2.65,,FIFA World Cup 2018
oddsportal,3118384,FIFA World Cup 2018,2018-06-22,Brazil,Costa Rica,1.19,6.78,20.0,,FIFA World Cup 2018
oddsportal,3118378,FIFA World Cup 2018,2018-06-21,Argentina,Croatia,2.08,3.25,4.06,,FIFA World Cup 2018
oddsportal,3118372,FIFA World Cup 2018,2018-06-21,France,Peru,1.6,3.82,6.81,,FIFA World Cup 2018
oddsportal,3118373,FIFA World Cup 2018,2018-06-21,Denmark,Australia,1.92,3.38,4.57,,FIFA World Cup 2018
oddsportal,3118367,FIFA World Cup 2018,2018-06-20,Iran,Spain,20.5,6.85,1.19,,FIFA World Cup 2018
oddsportal,3118361,FIFA World Cup 2018,2018-06-20,Uruguay,Saudi Arabia,1.2,6.8,19.38,,FIFA World Cup 2018
oddsportal,3118366,FIFA World Cup 2018,2018-06-20,Portugal,Morocco,1.69,3.72,6.0,,FIFA World Cup 2018
oddsportal,3118360,FIFA World Cup 2018,2018-06-19,Russia,Egypt,1.95,3.46,4.43,,FIFA World Cup 2018
oddsportal,3118400,FIFA World Cup 2018,2018-06-19,Poland,Senegal,2.5,3.04,3.31,,FIFA World Cup 2018
oddsportal,3118401,FIFA World Cup 2018,2018-06-19,Colombia,Japan,1.86,3.37,5.18,,FIFA World Cup 2018
oddsportal,6406359,FIFA World Cup 2022,2022-12-18,Argentina,France,2.69,3.15,2.9,,FIFA World Cup 2022
oddsportal,6406358,FIFA World Cup 2022,2022-12-17,Croatia,Morocco,2.28,3.55,3.11,,FIFA World Cup 2022
oddsportal,6398729,FIFA World Cup 2022,2022-12-14,France,Morocco,1.6,3.9,6.52,,FIFA World Cup 2022
oddsportal,6397890,FIFA World Cup 2022,2022-12-13,Argentina,Croatia,2.0,3.12,4.69,,FIFA World Cup 2022
oddsportal,6388514,FIFA World Cup 2022,2022-12-10,England,France,2.94,3.12,2.64,,FIFA World Cup 2022
oddsportal,6392715,FIFA World Cup 2022,2022-12-10,Morocco,Portugal,6.25,3.87,1.62,,FIFA World Cup 2022
oddsportal,6387475,FIFA World Cup 2022,2022-12-09,Netherlands,Argentina,3.77,3.14,2.21,,FIFA World Cup 2022
oddsportal,6390008,FIFA World Cup 2022,2022-12-09,Croatia,Brazil,8.73,4.83,1.4,,FIFA World Cup 2022
oddsportal,6386053,FIFA World Cup 2022,2022-12-06,Portugal,Switzerland,1.91,3.59,4.27,,FIFA World Cup 2022
oddsportal,6381884,FIFA World Cup 2022,2022-12-06,Morocco,Spain,6.11,3.84,1.63,,FIFA World Cup 2022
oddsportal,6386054,FIFA World Cup 2022,2022-12-05,Brazil,South Korea,1.23,6.64,13.64,,FIFA World Cup 2022
oddsportal,6381883,FIFA World Cup 2022,2022-12-05,Japan,Croatia,3.86,3.28,2.1,,FIFA World Cup 2022
oddsportal,6377881,FIFA World Cup 2022,2022-12-04,England,Senegal,1.62,3.73,6.68,,FIFA World Cup 2022
oddsportal,6379571,FIFA World Cup 2022,2022-12-04,France,Poland,1.39,4.91,8.88,,FIFA World Cup 2022
oddsportal,6379570,FIFA World Cup 2022,2022-12-03,Argentina,Australia,1.29,6.19,9.79,,FIFA World Cup 2022
oddsportal,6377884,FIFA World Cup 2022,2022-12-03,Netherlands,United States,1.92,3.39,4.48,,FIFA World Cup 2022
oddsportal,5789625,FIFA World Cup 2022,2022-12-02,Cameroon,Brazil,9.05,5.31,1.35,,FIFA World Cup 2022
oddsportal,5789626,FIFA World Cup 2022,2022-12-02,Serbia,Switzerland,2.58,3.37,2.82,,FIFA World Cup 2022
oddsportal,5789632,FIFA World Cup 2022,2022-12-02,Ghana,Uruguay,4.5,3.8,1.79,,FIFA World Cup 2022
oddsportal,5789631,FIFA World Cup 2022,2022-12-02,South Korea,Portugal,4.31,3.78,1.84,,FIFA World Cup 2022
oddsportal,5919932,FIFA World Cup 2022,2022-12-01,Costa Rica,Germany,24.69,11.16,1.09,,FIFA World Cup 2022
oddsportal,5789614,FIFA World Cup 2022,2022-12-01,Japan,Spain,7.2,4.49,1.48,,FIFA World Cup 2022
oddsportal,5789619,FIFA World Cup 2022,2022-12-01,Croatia,Belgium,3.04,3.41,2.4,,FIFA World Cup 2022
oddsportal,5789620,FIFA World Cup 2022,2022-12-01,Canada,Morocco,4.87,3.47,1.84,,FIFA World Cup 2022
oddsportal,5789607,FIFA World Cup 2022,2022-11-30,Poland,Argentina,8.13,4.56,1.44,,FIFA World Cup 2022
oddsportal,5789608,FIFA World Cup 2022,2022-11-30,Saudi Arabia,Mexico,5.37,4.25,1.62,,FIFA World Cup 2022
oddsportal,5917393,FIFA World Cup 2022,2022-11-30,Australia,Denmark,7.39,4.92,1.43,,FIFA World Cup 2022
oddsportal,5789611,FIFA World Cup 2022,2022-11-30,Tunisia,France,6.18,3.9,1.61,,FIFA World Cup 2022
oddsportal,5900011,FIFA World Cup 2022,2022-11-29,Wales,England,8.86,4.43,1.43,,FIFA World Cup 2022
oddsportal,5789602,FIFA World Cup 2022,2022-11-29,Iran,United States,4.19,3.47,1.96,,FIFA World Cup 2022
oddsportal,5789599,FIFA World Cup 2022,2022-11-29,Ecuador,Senegal,2.47,3.06,3.26,,FIFA World Cup 2022
oddsportal,5789598,FIFA World Cup 2022,2022-11-29,Netherlands,Qatar,1.2,7.18,14.86,,FIFA World Cup 2022
oddsportal,5789629,FIFA World Cup 2022,2022-11-28,Portugal,Uruguay,1.94,3.37,4.49,,FIFA World Cup 2022
oddsportal,5789623,FIFA World Cup 2022,2022-11-28,Brazil,Switzerland,1.48,4.25,7.67,,FIFA World Cup 2022
oddsportal,5789630,FIFA World Cup 2022,2022-11-28,South Korea,Ghana,2.75,3.11,2.81,,FIFA World Cup 2022
oddsportal,5789624,FIFA World Cup 2022,2022-11-28,Cameroon,Serbia,5.25,3.82,1.7,,FIFA World Cup 2022
oddsportal,5789613,FIFA World Cup 2022,2022-11-27,Spain,Germany,2.52,3.45,2.82,,FIFA World Cup 2022
oddsportal,5789618,FIFA World Cup 2022,2022-11-27,Croatia,Canada,2.2,3.25,3.61,,FIFA World Cup 2022
oddsportal,5789617,FIFA World Cup 2022,2022-11-27,Belgium,Morocco,1.88,3.48,4.49,,FIFA World Cup 2022
oddsportal,5919931,FIFA World Cup 2022,2022-11-27,Japan,Costa Rica,1.47,4.3,7.67,,FIFA World Cup 2022
oddsportal,5789605,FIFA World Cup 2022,2022-11-26,Argentina,Mexico,1.53,3.99,7.2,,FIFA World Cup 2022
oddsportal,5789610,FIFA World Cup 2022,2022-11-26,France,Denmark,1.8,3.59,4.84,,FIFA World Cup 2022
oddsportal,5789606,FIFA World Cup 2022,2022-11-26,Poland,Saudi Arabia,1.72,3.65,5.37,,FIFA World Cup 2022
oddsportal,5917392,FIFA World Cup 2022,2022-11-26,Tunisia,Australia,2.18,3.35,3.54,,FIFA World Cup 2022
oddsportal,5789601,FIFA World Cup 2022,2022-11-25,England,United States,1.46,4.28,8.05,,FIFA World Cup 2022
oddsportal,5789597,FIFA World Cup 2022,2022-11-25,Netherlands,Ecuador,1.83,3.42,4.94,,FIFA World Cup 2022
oddsportal,5789596,FIFA World Cup 2022,2022-11-25,Qatar,Senegal,5.48,3.6,1.72,,FIFA World Cup 2022
oddsportal,5900010,FIFA World Cup 2022,2022-11-25,Wales,Iran,2.11,3.19,3.97,,FIFA World Cup 2022
oddsportal,5789621,FIFA World Cup 2022,2022-11-24,Brazil,Serbia,1.44,4.57,7.45,,FIFA World Cup 2022
oddsportal,5789627,FIFA World Cup 2022,2022-11-24,Portugal,Ghana,1.31,5.52,10.22,,FIFA World Cup 2022
oddsportal,1368379,UEFA Euro 2012,2012-07-01,Spain,Italy,2.12,3.07,4.12,,UEFA Euro 2012
oddsportal,1354257,UEFA Euro 2012,2012-06-28,Germany,Italy,1.88,3.33,4.58,,UEFA Euro 2012
oddsportal,1353893,UEFA Euro 2012,2012-06-27,Portugal,Spain,4.42,3.33,1.96,,UEFA Euro 2012
oddsportal,1349426,UEFA Euro 2012,2012-06-24,England,Italy,2.87,2.89,2.81,,UEFA Euro 2012
oddsportal,1349425,UEFA Euro 2012,2012-06-23,Spain,France,1.87,3.33,4.75,,UEFA Euro 2012
oddsportal,1344959,UEFA Euro 2012,2012-06-22,Germany,Greece,1.32,5.25,9.83,,UEFA Euro 2012
oddsportal,1344958,UEFA Euro 2012,2012-06-21,Czech Republic,Portugal,5.39,3.53,1.67,,UEFA Euro 2012
oddsportal,941545,UEFA Euro 2012,2012-06-19,England,Ukraine,1.99,3.33,4.15,,UEFA Euro 2012
oddsportal,941546,UEFA Euro 2012,2012-06-19,Sweden,France,5.08,3.72,1.72,,UEFA Euro 2012
oddsportal,941547,UEFA Euro 2012,2012-06-18,Croatia,Spain,9.5,3.78,1.48,,UEFA Euro 2012
oddsportal,941548,UEFA Euro 2012,2012-06-18,Italy,Ireland,1.4,4.65,8.56,,UEFA Euro 2012
oddsportal,941544,UEFA Euro 2012,2012-06-17,Denmark,Germany,6.87,3.83,1.55,,UEFA Euro 2012
oddsportal,941543,UEFA Euro 2012,2012-06-17,Portugal,Netherlands,2.71,3.53,2.48,,UEFA Euro 2012
oddsportal,941542,UEFA Euro 2012,2012-06-16,Czech Republic,Poland,3.25,3.25,2.27,,UEFA Euro 2012
oddsportal,941541,UEFA Euro 2012,2012-06-16,Greece,Russia,4.85,3.52,1.75,,UEFA Euro 2012
oddsportal,941539,UEFA Euro 2012,2012-06-15,Sweden,England,3.28,3.15,2.35,,UEFA Euro 2012
