category,prediction_type,team,group,prediction,points,confidence_proxy,reason
Landen,Juiste groepspositie 1/2,France,Group I,1e in Group I,75,5.0,"Projected GD 5, goals for 6"
Landen,Door groepsfase,Norway,Group I,qualifies for knockouts,50,6.0,"Projected position 2, points 6"
Landen,Juiste groepspositie 1/2,Norway,Group I,2e in Group I,75,3.0,"Projected GD 3, goals for 5"
Landen,Door groepsfase,Senegal,Group I,qualifies for knockouts,50,3.0,"Projected position 3, points 3"
Landen,Door groepsfase,Argentina,Group J,qualifies for knockouts,50,9.0,"Projected position 1, points 9"
Landen,Juiste groepspositie 1/2,Argentina,Group J,1e in Group J,75,6.0,"Projected GD 6, goals for 6"
Landen,Door groepsfase,Algeria,Group J,qualifies for knockouts,50,6.0,"Projected position 2, points 6"
Landen,Juiste groepspositie 1/2,Algeria,Group J,2e in Group J,75,-1.0,"Projected GD -1, goals for 2"
Landen,Door groepsfase,Austria,Group J,qualifies for knockouts,50,3.0,"Projected position 3, points 3"
Landen,Door groepsfase,Colombia,Group K,qualifies for knockouts,50,7.0,"Projected position 1, points 7"
Landen,Juiste groepspositie 1/2,Colombia,Group K,1e in Group K,75,3.0,"Projected GD 3, goals for 5"
Landen,Door groepsfase,Portugal,Group K,qualifies for knockouts,50,5.0,"Projected position 2, points 5"
Landen,Juiste groepspositie 1/2,Portugal,Group K,2e in Group K,75,1.0,"Projected GD 1, goals for 3"
Landen,Door groepsfase,DR Congo,Group K,qualifies for knockouts,50,4.0,"Projected position 3, points 4"
Landen,Door groepsfase,England,Group L,qualifies for knockouts,50,9.0,"Projected position 1, points 9"
Landen,Juiste groepspositie 1/2,England,Group L,1e in Group L,75,5.0,"Projected GD 5, goals for 7"
Landen,Door groepsfase,Croatia,Group L,qualifies for knockouts,50,6.0,"Projected position 2, points 6"
Landen,Juiste groepspositie 1/2,Croatia,Group L,2e in Group L,75,0.0,"Projected GD 0, goals for 4"
Landen,Door groepsfase,Ghana,Group L,qualifies for knockouts,50,3.0,"Projected position 3, points 3"
Landen,Door naar kwartfinale,Netherlands,,wins Round of 16,30,136.65,South Korea 0-1 Netherlands
Landen,Door naar kwartfinale,France,,wins Round of 16,30,20.85,Germany 2-2 France
Landen,Door naar kwartfinale,Brazil,,wins Round of 16,30,192.02,Brazil 3-0 Ivory Coast
Landen,Door naar kwartfinale,England,,wins Round of 16,30,50.54,Mexico 0-1 England
Landen,Door naar kwartfinale,Spain,,wins Round of 16,30,107.81,Portugal 0-1 Spain
Landen,Door naar kwartfinale,United States,,wins Round of 16,30,37.16,United States 1-1 Egypt
Landen,Door naar kwartfinale,Argentina,,wins Round of 16,30,144.46,Argentina 1-1 Belgium
Landen,Door naar kwartfinale,Colombia,,wins Round of 16,30,87.31,Switzerland 0-1 Colombia
Landen,Door naar halve finale,France,,wins Quarterfinals,60,23.37,France 1-1 Netherlands
Landen,Door naar halve finale,Spain,,wins Quarterfinals,60,91.24,Spain 1-1 United States
Landen,Door naar halve finale,Brazil,,wins Quarterfinals,60,27.54,Brazil 1-1 England
Landen,Door naar halve finale,Argentina,,wins Quarterfinals,60,88.65,Argentina 1-1 Colombia
Landen,Door naar finale,Spain,,wins Semifinals,120,17.33,France 2-2 Spain
Landen,Door naar finale,Argentina,,wins Semifinals,120,26.05,Brazil 2-2 Argentina
Landen,Wereldkampioen,Argentina,,world champion,250,18.57,Spain 2-2 Argentina
