tournament,round,player,player_url,team,opponent,scorito_position,raw_position,position_known,group_goals,group_goal_matches,player_goal_share,carryover_boost,team_xg,expected_round_goals,points_per_goal,expected_round_points,pure_points_rank,differential_score,pick_rank,pick_style,actual_goals,actual_points
UEFA Euro 2016,Round of 16,Shkodran Mustafi,https://en.wikipedia.org/wiki/Shkodran_Mustafi,Germany,Slovakia,Keeper / Verdediger,Centre-back,True,1,1,0.22800000000000004,0.862927054478301,1.195,0.23511310526315793,96,22.570858105263163,4,31.599201347368425,4,core_expected_points,0,0.0
UEFA Euro 2016,Quarter-finals,Dimitri Payet,https://en.wikipedia.org/wiki/Dimitri_Payet,France,Iceland,Middenvelder,Attacking midfielder,True,2,2,0.38999999999999996,1.65,1.312,0.9286991999999998,64,59.43674879999999,1,68.35226111999998,1,core_expected_points,1,64.0
UEFA Euro 2016,Quarter-finals,Gareth Bale,https://en.wikipedia.org/wiki/Gareth_Bale,Wales,Belgium,Aanvaller,Right winger forward,True,3,3,0.445,1.319736842105263,1.478,1.041604942105263,32,33.33135814736842,2,31.66479024,2,core_expected_points,0,0.0
UEFA Euro 2016,Quarter-finals,Axel Witsel,https://en.wikipedia.org/wiki/Axel_Witsel,Belgium,Wales,Keeper / Verdediger,Defensive midfielder centre-back,True,1,1,0.19000000000000003,0.862927054478301,1.212,0.1987148421052632,128,25.43549978947369,3,35.60969970526316,3,core_expected_points,0,0.0
UEFA Euro 2016,Quarter-finals,Shkodran Mustafi,https://en.wikipedia.org/wiki/Shkodran_Mustafi,Germany,Italy,Keeper / Verdediger,Centre-back,True,1,1,0.22800000000000004,0.862927054478301,0.928,0.18258155789473687,128,23.37043941052632,4,32.71861517473685,4,core_expected_points,0,0.0
UEFA Euro 2016,Semi-finals,Dimitri Payet,https://en.wikipedia.org/wiki/Dimitri_Payet,France,Germany,Middenvelder,Attacking midfielder,True,2,2,0.38999999999999996,1.65,0.945,0.6689182499999999,80,53.513459999999995,1,61.54047899999999,1,core_expected_points,0,0.0
UEFA Euro 2016,Semi-finals,Gareth Bale,https://en.wikipedia.org/wiki/Gareth_Bale,Wales,Portugal,Aanvaller,Right winger forward,True,3,3,0.445,1.319736842105263,1.745,1.2297703815789474,40,49.190815263157894,2,46.7312745,2,core_expected_points,0,0.0
UEFA Euro 2016,Semi-finals,Nani,https://en.wikipedia.org/wiki/Nani_(footballer),Portugal,Wales,Aanvaller,Winger,True,2,2,0.4266666666666667,1.65,1.145,0.8866880000000001,40,35.46752000000001,3,33.69414400000001,3,core_expected_points,1,40.0
UEFA Euro 2016,Semi-finals,Neil Taylor,https://en.wikipedia.org/wiki/Neil_Taylor_(footballer),Wales,Portugal,Keeper / Verdediger,Left-back [ 4 ] left wing-back,True,1,1,0.14250000000000002,0.862927054478301,1.745,0.21457759868421056,160,34.332415789473686,4,48.065382105263154,4,core_expected_points,0,0.0
UEFA Euro 2016,Final,Dimitri Payet,https://en.wikipedia.org/wiki/Dimitri_Payet,France,Portugal,Middenvelder,Attacking midfielder,True,2,2,0.38999999999999996,1.65,1.445,1.02284325,96,98.19295199999999,1,112.92189479999998,1,core_expected_points,0,0.0
UEFA Euro 2016,Final,Nani,https://en.wikipedia.org/wiki/Nani_(footballer),Portugal,France,Aanvaller,Winger,True,2,2,0.4266666666666667,1.65,0.945,0.731808,48,35.126784,2,33.3704448,2,core_expected_points,0,0.0
UEFA Euro 2016,Final,Antoine Griezmann,https://en.wikipedia.org/wiki/Antoine_Griezmann,France,Portugal,Aanvaller,Forward attacking midfielder,True,1,1,0.26,0.862927054478301,1.445,0.3242016943674977,48,15.561681329639889,3,14.783597263157894,3,core_expected_points,0,0.0
UEFA Euro 2016,Final,Olivier Giroud,https://en.wikipedia.org/wiki/Olivier_Giroud,France,Portugal,Aanvaller,Striker,True,1,1,0.26,0.862927054478301,1.445,0.3242016943674977,48,15.561681329639889,4,14.783597263157894,4,core_expected_points,0,0.0
UEFA Euro 2020,Round of 16,Denzel Dumfries,https://en.wikipedia.org/wiki/Denzel_Dumfries,Netherlands,Czech Republic,Keeper / Verdediger,Right-back right wing-back,True,2,2,0.21400000000000002,1.65,1.9,0.737979,96,70.845984,1,99.18437759999999,1,core_expected_points,0,0.0
UEFA Euro 2020,Round of 16,Georginio Wijnaldum,https://en.wikipedia.org/wiki/Georginio_Wijnaldum,Netherlands,Czech Republic,Middenvelder,Midfielder,True,2,2,0.23399999999999999,1.65,1.9,0.8069489999999999,48,38.733551999999996,2,44.54358479999999,2,core_expected_points,0,0.0
UEFA Euro 2020,Round of 16,Raheem Sterling,https://en.wikipedia.org/wiki/Raheem_Sterling,England,Germany,Aanvaller,Winger [ 1 ],True,2,2,0.64,1.65,1.167,1.3555872,24,32.534092799999996,3,30.907388159999996,3,core_expected_points,1,24.0
UEFA Euro 2020,Round of 16,Thomas Meunier,https://en.wikipedia.org/wiki/Thomas_Meunier,Belgium,Portugal,Keeper / Verdediger,Right-back,True,1,1,0.12666666666666668,0.874186550976139,2.15,0.23807013738250188,96,22.854733188720182,7,31.99662646420825,4,differential_upside,0,0.0
UEFA Euro 2020,Quarter-finals,Raheem Sterling,https://en.wikipedia.org/wiki/Raheem_Sterling,England,Ukraine,Aanvaller,Winger [ 1 ],True,2,2,0.64,1.65,1.234,1.4334144000000002,32,45.869260800000006,1,43.57579776000001,1,core_expected_points,0,0.0
UEFA Euro 2020,Quarter-finals,Patrik Schick,https://en.wikipedia.org/wiki/Patrik_Schick,Czech Republic,Denmark,Aanvaller,Striker,True,2,2,0.512,1.65,1.184,1.10026752,32,35.20856064,2,33.448132608,2,core_expected_points,1,32.0
UEFA Euro 2020,Quarter-finals,Aymeric Laporte,https://en.wikipedia.org/wiki/Aymeric_Laporte,Spain,Switzerland,Keeper / Verdediger,Centre-back,True,1,1,0.14250000000000002,0.874186550976139,1.934,0.24092144251626904,128,30.837944642082437,3,43.17312249891541,3,core_expected_points,0,0.0
UEFA Euro 2020,Quarter-finals,Joakim Mæhle,https://en.wikipedia.org/wiki/Joakim_M%C3%A6hle,Denmark,Czech Republic,Keeper / Verdediger,Full-back,True,1,1,0.16285714285714287,0.874186550976139,1.284,0.18279990083669048,128,23.39838730709638,7,32.757742229934934,4,differential_upside,0,0.0
UEFA Euro 2020,Semi-finals,Raheem Sterling,https://en.wikipedia.org/wiki/Raheem_Sterling,England,Denmark,Aanvaller,Winger [ 1 ],True,2,2,0.64,1.65,1.067,1.2394271999999997,40,49.57708799999999,1,47.098233599999986,1,core_expected_points,0,0.0
UEFA Euro 2020,Semi-finals,Ciro Immobile,https://en.wikipedia.org/wiki/Ciro_Immobile,Italy,Spain,Aanvaller,Striker,True,2,2,0.28444444444444444,1.65,1.55,0.8002133333333333,40,32.00853333333333,2,30.408106666666665,2,core_expected_points,0,0.0
